gamma,template_blend_weight,method,train_rmse,train_violations,test_violations
0.8,0.75,none,27.4912992967633,145,27
0.8,0.75,cummin,27.491515628413154,0,0
0.6,0.75,smooth_30,27.903833953686227,0,0
0.6,0.75,smooth_10,27.918932334192107,0,0
0.6,0.75,smooth_3,27.93644008458628,0,0
0.6,0.75,smooth_1,27.945412113264986,0,0
0.6,0.75,smooth_0.3,27.950666084099897,0,0
0.6,0.75,smooth_0.1,27.95322530962648,0,0
0.6,0.75,isotonic,27.955394793625043,0,0
1.5,1.0,smooth_30,27.95986093310831,0,0
1.2,1.0,smooth_30,27.95986093310831,0,0
1.0,1.0,smooth_30,27.95986093310831,0,0
2.0,1.0,smooth_30,27.95986093310831,0,0
0.6,1.0,smooth_30,27.95986093310831,0,0
0.8,1.0,smooth_30,27.95986093310831,0,0
0.6,0.75,none,27.961856045381122,146,34
1.5,0.0,smooth_30,27.96469177016144,0,0
2.0,1.0,cummin,27.96495278697886,0,0
0.6,1.0,cummin,27.96495278697886,0,0
0.8,1.0,cummin,27.96495278697886,0,0
1.5,1.0,cummin,27.96495278697886,0,0
1.0,1.0,cummin,27.96495278697886,0,0
1.2,1.0,cummin,27.96495278697886,0,0
0.6,0.75,cummin,27.965020523382066,0,0
1.5,0.0,smooth_10,27.96516266562945,0,0
1.5,0.0,smooth_3,27.965733274193877,0,0
1.5,0.0,smooth_1,27.966044648472877,0,0
1.5,0.0,smooth_0.3,27.96624203662448,0,0
1.5,0.0,smooth_0.1,27.966357749899792,0,0
1.5,0.0,isotonic,27.9664876112707,0,0
1.5,0.0,none,27.9664876112707,0,0
1.5,0.0,cummin,27.9664876112707,0,0
1.2,1.0,smooth_10,27.981246465820675,0,0
1.5,1.0,smooth_10,27.981246465820675,0,0
2.0,1.0,smooth_10,27.981246465820675,0,0
0.8,1.0,smooth_10,27.981246465820675,0,0
0.6,1.0,smooth_10,27.981246465820675,0,0
1.0,1.0,smooth_10,27.981246465820675,0,0
1.2,1.0,smooth_3,28.00742127779021,0,0
2.0,1.0,smooth_3,28.00742127779021,0,0
1.5,1.0,smooth_3,28.00742127779021,0,0
1.0,1.0,smooth_3,28.00742127779021,0,0
0.8,1.0,smooth_3,28.00742127779021,0,0
0.6,1.0,smooth_3,28.00742127779021,0,0
1.5,1.0,smooth_1,28.022443835331632,0,0
0.6,1.0,smooth_1,28.022443835331632,0,0
0.8,1.0,smooth_1,28.022443835331632,0,0
2.0,1.0,smooth_1,28.022443835331632,0,0
1.2,1.0,smooth_1,28.022443835331632,0,0
1.0,1.0,smooth_1,28.022443835331632,0,0
